1-cos,N
0,0.00116279069767442
0.015192246987792,0.00112233445566779
0.0603073792140916,0.00119189511323004
0.133974596215561,0.00128700128700129
0.233955556881022,0.0014792899408284
0.357212390313461,0.00164473684210526
0.5,0.00188323917137476
0.657979856674331,0.00204498977505112
0.82635182233307,0.00225733634311512
1,0.00247524752475248
1.17364817766693,0.00285714285714286
1.34202014332567,0.00301204819277108
1.5,0.00315457413249211
